Standard,Non-Standard
alam niya ang bawat laman,alm nya an bwat lman
lalo humirap ang buhay,llo humrp an buhy
kailangan pa ba,kelngn p b
ilan na ang lumipas,iln n an lumips
wala pa rin pagbabago,wla p rn pgbbgo
hindi makita ang nangyari,di mkita anh nngyri
gago yang mga yan,ogag yng mgq yn
dapat yan makusahan,dpat yn mksuhn
naku ano na naman yan,Nku Anu n nmn yn
paano kayo makakaakay,Pano kau mka2akay
kung ganyan ang gawa niyo,qng gnyan anh gwa nio
Dapat lang panagutin,dapt lng pngu10
mas maganda pa,ms mganda p
dapat irespeto,dpat ires7
ang lakas din,anq lks dn
aral sa inyo maging mabuting,arl s inio mging mbutng
mapamura ka na lang,Mpamura kn lng
kalokohan mo,Klokohan m
pati yung tumulong,pti ung 2mulong
kalayo naman,klyo nmn
isa pa hindi naman,1 p ndi nman
na iyak ako,Nah iyak aku
dahil sa pinagtulungan,dhil s ping2lungn
napakasakit matanda na,npksak8 mtnda n
siya pa yun,Xha pa yong
kasalanan nakikain,ksalanan nkikain
kapag sinabi mong,kpag cnbi mung
hindi lang ito tumutukoy,di lng i2 2mu2koy
bakit pati ibang,bkt pti ibng
galit kay tatay,gl8 ky ttay
tapos putol na din kasi,tas pu2l ndn ksi
lasing na siya,lacng n xha
tapos na sila,tas n cla
Kung Tama sinabi,qng tma cnbi
madaling mapansin,mdling mpncn
Kasi kung naghalo Lang,kc qng nghlo lng
Ang dapat sabihin,an dpat sbihn
madaling Makita Yung,mdling mkita ung
napaka galing niyo,npk gling nio
nailabas po namin siya,nailbas poh nmin xa
may patutunguhan ang kasong ito,my pa22nguhn anh ksong i2
basta ba huwag lang silang,bsta b wag lng clang
ang daming bawal pero,an dming bwal pro
marunong magmahal,mrunong mgmhal
sobra naman yan,subra nmn yanh
yung iyak ko,ung iyaq qu
humantong sa pananakit,humn2ng s pnnak8
huwag niyong saktan,wag niong sktan
umayos ka,umaus k
may kasalanan man o wala,my kslnan mn o wla
nakaka iyak naman,Nkka iyk nman
grabe naman ginawa kay,ebarg nman gnwa ky
ang dami dami nila,andami2x nla
dito ako sobrang,d2 aq sbrng
kahit kailan hindi sumakit,khit kelanmn ndi smkit
Yan lang ang alam,yn lng an alm
suntok suntok lang,sun2k sun2k lng
hindi na ito babangon,d n i2 bbangon
sama sama pa rin kayo doon,sama2x p rn kyo
sigurado kami kampi mga yan,cgordo kampi2x manga yn
Yan kasi huwag,yn kc wag
masyadong matakaw,mxadong mtkaw
kaya siguro nagalit,ky cgro ngl8
makatikim din ng bugbog,mktikim dn ng bog2
pamilya namin ganyan,pmilya nmin gnyan
tumataba ka,2mtaba k
iba talaga magmahal,ib tlga mgmhal
mayayabang kasi sa kanila,myybang kc sa knila
hindi naman lahat,di nmn lht
karamihan ganyan sila,krmihan gnyan cla
para malinaw,pra mlinw
dapat sa inyo mabulok,dpat s iniu mbulok
kung totoo miyembro siya,qng 22o membro cya
namin na kapag,nmin n kpag
alam ninyo na disiplinado,alm nio n dcplinado
sapagkat hindi kailanman,spgkat di kilnman
may isipan kayo na lahat,my icpan kau n lhat
magaling lang kayo,mgling lng kyo
wala na silang katapat,wla n clng ktpat
Dapat talaga hindi,dpat tlga di
ganyang mga gawain,gnyang mha gwain
Dapat pag bayaran niya yan,dpat pgbyran nia yn
hindi na siya tularan,di n xa 2lrn
kayo naman mga lalaki,kyo nman mha llaki
huwag basta basta,wag basta2x
malaki lalo na,mlaki llo n
kung hindi pa kayo,kng di p kyo
malalaman yun kung,mllamn un qng
hindi talaga tumutugma,ndi tlga 2mu2gma
sagot ng babae,sgot nh bbae
Sabi niya matagal na,sbi nia mtgal n
sila wala pero bakit,cla wla pro bkit
na gagamitin niya,n ggmitin
kung hindi sinabi,qng ndi cnbi
sa kanya yun,s knya un
Alam niya na hindi,alm nya n hind
bata inabot niya,bta inbot nia
lang ito nanloko,lng 2 nnloq
mukha palang ng babae,muka plng ng bbae
matagal na kayo,matagl n kyo
naghahanap ng panakip,nghhanp nh pankip
si babae,c bbae
hindi natatakot,ndi nttkot
ibalik mo na lang,iblik u nlng
maraming babae dyan na,marming bbae jan n
sa lalaki tapos,s llki tpos
iba ang gagastos,ib an ggastos
pwede talaga,pwde tlga
bakit niya tinanggap yung,bkit ny tinnggap yong
ganyan tapos iba ang tatay,gnyan tpos iva anh ttay
daming anak iba iba,dming ank iba2x
para malaman,pra mlamn
may utak ka ba talaga,my utk k b tlga
makarma yang babae na yan,mkarma yng bbae n yn
babaeng walang,bbaeng wlng
makapal ang balat,mkpal an blat
dapat lang,dpat lng
hindi ka nabaliw,nd k nbliw
Kung matagal na,qng mtgal n
kayong wala bakit,kaung wla bk8
huwag kang magpauto,wg kng mgpau2
dahil niloko mo siya,dhil niloq m xa
huwang ka nang,hwag kanang
bakit mo ginamit yun,bk8 u ginm8 un
ikaw may alam kung sino,ikw my alm kng cno
na pala kayo,n pla kaau
gumastos ng hindi sayo,gumas2s nh di sau
kapal mukha mo,kpal muks u
Hindi sa kanya,d s knya
tapos ginastos mo,tas gins2s m
hindi pala sa kanya,ndi pla s knya
Loko yang babae na yan,loq yng bbae n yn
sinungaling Yung babae,cnungaling ung bbae
dapat yung binigay,dpat ung binigy
akin ka nalang,Aken k nlang
kahit joke lang,kaht jowk lng
ako na bahala,aq n bhala
bakit mo siya niloloko,bkit u cya nilo2q
Wala na kayo matagal na,wla n kyo mtgal n
pero yung pera niya,pro ung pira nya
tagal mo na ginagamit,tgal u n ginagm8
makarma ka sana,mkrma k sna
huwag ka pumayag,wag k pumyg
kapal mukha hindi naman,Kpal muks d namn
kung saan mo na gastos,qng san u n gas2s
buhay sa trababo,buhy s trbaho
tapos ganyan pa inabot,tpos gnyan p inabot
sana mabigyan ka,sna mbigyan k
Lagi lagi nalang,lgi lgi nlng
lumang tugtugin na yan,lmang 2g2gin n yn
pag walang makuha,Pag wlang mkuha
hustisya si sundalo,histisya c sundlo
hindi na ako,dehins c sundlo
yung karma mo,yng krma mu
hindi pala anak noong,dehins pla nak nung
siyang gumastos sa,cya gmas2s s
mukha kang pera,muka kng arep
hindi pala sa kanya,Hnd pla s knya
galing mo,gling u
kapag hindi anak,pg di ank
pagbayarin ang babae,pgbayarin anh bbae
tapos kung siya yung,tas kong sya ung
kunin yung bata,qnin ung bta
makasarili ka,mksrili k
ginamit mo isang,ginm8 m 1ng
masakit hindi niya,mskit di nya
pinagsabay ang dalawang,pingsbay an dlawang
gigil talaga ako,qiqil tlga aq
Ito pa kahit,i1 p kht
Binigyan ka,bnigyn k
na gamitin ang Pera niya,n gmitin an pira nya
Siguro may asawa yung,cguro my aswa ung
ang galing noong babae,an gling nung bbae
dapat parusahan ka,dpat prushn k
ginawa pa niya,ginwa p nia
naghirap yung lalaki sa trabaho,nghirp ung llki s trbho
daw siya pero,dw cya pro
mukhang siya naman,mokang xya nmn
Kung Matagal na Wala,qng mtgal n wla
kayabangan ka babae,kybangan k eabab
Sana hindi ka Niya,sna ndi k nya
malamang sundalo yan,mlmang xundlo
bago ka pinuntahan,bgo k pinunthn
ingay ng babae na ito,ingy nh eabab n i2
bakit hindi mo,Bkit dimo
sinabi na hindi sa kanya,cnbi n di s knya
paiyak iyak ka pa,piyk iyk k p
Manloloko ka pala,mnloloq k pla
tapos kumuha ka pa,tpos qmuha kp
nagalit na tuloy,Ngalit n toloy
Halatang sinungaling,hltang cnunglinh
huwag ka umiyak dyan,wg k umiyk jan
ang akala niya,an akla nya
yung pala hindi,yon pla di
wala ka pa din karapatan,wla k p dn krptan
gamitin yun,gmitin un
Niloloko niya si,nilo2q nia c
kung ganon,Kong gnun
ikaw Ang sinungaling,ikw anh cnungling
Kung sinabi mo sana,qng cnbi u sna
para hindi Siya binigay,pra di sya bnigy
ganyan klaseng mga babae,Gnyan claseng mha bbae
magagamit siya,mggamet cya
yang dapat putulin,yn dpat potolin
huwag kang magbigay,wag kng mgbigy
kayo nalang,ku nlang
ka lalo,kalalo
ngayon sa kasong haharapin mo,ngaun s ksong hharpin u
Mahiya ka naman,mhiy k nman
Nadulas siya hindi kay,nduls xya di ky
Bakit ginamit yung,bkt ginm8 ung
alam pala niya,alm pla nya
bakit matagal,Bakut matafal
Anong kinalaman,anng kinalmn
wala naman,wla nman
pwede ka na man magsalita,pwd kna MN mgsalita
dapat namatay ka na,Dpat nmatay kna
Ang laki Ng nakuha mo,an lki nh nkuha m
binigyan ka ng,bingyan k Nh
dahil alam niya,dhil alm nya
panloloko yan ate,pnloloq yn te
sinungaling ka talaga,cinungaling k tlga
dapat ibalik mo yan,dpat iblik m yn
sinungaling na babae,Cnungaling n bbae
Grabe ngayon lang,ebarg ngyon lng
ako nakakita,aq nkkita
pa yan kasi,p yn ksi
Ipakulong yan para,ipaqlong yn pra
Bakit tumanggap ka,bkt 2mnggap k
ang laki pa ng kinuha niya,an lki p nh qinuha nia
Isipin mo nalang,icpin u nlng
na bayad mo sa kanya,n byad m s knya
grabe bigyan,Grbi bigyn
para makakuha ng malaking,pra mkkuha nh mlking
Matagal na Pala,mtgal n pla
pero ginagamit niya,pro ginm8 nya
Manloloko talaga,mnloloq talg
talaga na kanya yan,tlag n knya yn
tapos sasabihin mo,tas ssvhin u
hndi nman pla,d nmn pla
Kung alam mo,qng alm u
sana binalik mo yung,sna binlik m ung
kayong wala bakit,kyong wla bkit
ginastos mo pa talaga,gins2s m p tlag
manloloko yan,mnloloq yn
kitang kita naman,kitng kta nmn
malinaw na niloko,mlinw n niloq
tapos makahanap pa,tpos mkhnap p
malinaw pa sa sikat ng araw,mlinw p s ckat nh arw
doon naman ulit,dun nmn ul8
na tapos niya,n tpos nya
naman sinabing hindi,nman cnbing di
bata ka pa lang,Bta kpa lng
hindi kami kasama,di kmi ksma
grabe itong babae na ito,Grave tong bbae nato
kung nawala yung,Kng nwla ung
nasa kanya yun tinatago,nsa knya un tintgo
para kapag,pra pg
hindi siya mawawalan,d cya mwwalan
kakahiya ka,kkhiya k
Dumami na yung,dummi n ung
naman nitong klaseng,namn ni2ng klcng
kanya na lahat,knya n lht
kawawa si sundalo,kawWa c sondalo
anak pala ng ibang lakaki,ank pla nh ibng llki
ibalik mo lahat,iblik u lhat
Kawawa ka lang,kwwa k lng
hindi na,dina
Mukha palang,moka plang
dapat sinauli mo yung,dpt cnauli m ung
kung ayaw niyang tanggapin,qng ayw nia tnggapin
pwede mo namang,pwd u nmang
Dapat makulong yan,dpt mqlong yn
bilis mo maubos,bls m mubos
Ganyan na pala,gnyan n pla
bayad ngayon sa,byd ngaun s
na lang pwede,nlng pede
gumawa ng ganyan,gumwa nh gnyan
sinungaling na babae,Cnungaling n bbae
yan sobra talaga,yn xobra tlga
napaka sinungaling,npka cnungaling
Pera lang habol,pira lng hbol
manloloko yan,mnloloq yn
na yan,nayan
Alam mo pala,alm u pla
ka pa,Kapa
Hindi mo ginalaw,nd u ginlw
Sana sinauli mo,sna cnuli m
na Lang yun,n lng un
alam mo sa Sarili,alm m s srili
kapal mo na man,kpal u n mn
huwag kang mag drama,hwag kng mg drma
dyan isa kang,jan 1 kng
Kung Nasa malapit ka lang,qng nsa mlp8 k lng
baka nabaril ka niyan,bka nbril k nian
Kaya kayo binigyan,kya kyo bnigyn
para gamitin yung,pra gmi10 ung
anak niyo dalawa,ank nio dlwa
huwag naman sana,wag nmn sna
kayo mang loko,kau mng loq
sobrang hirap yung trabaho,sobrng hirp ung trbho
tapos ganyan lang kadali,tpos gnyn lng kdli
para sa inyo gamitin,pra s inio gmi10
galing ng babae,gling nh bbae
gusto tumakas,gus2 2mkas
hindi na nahiya,d n nhiya
Sinungaling ka ate,cinungaling k te
Alam mo palang,alm u plng
hindi siya ang tatay,nd sia an ttay
ginalaw mo pa,ginlw u pa
sana makarma ka,sna mkarma k
Kung hindi pala sa kanya,qng d pla s knya
kapal ng mukha mo,kpal nh muka u
Sino niloko mo,cno niloq m
dahil hindi mo na alam,dhil ndi u n alm
kung ano gagawin mo,qng ani ggawin m
sa kalokohan mo,s kloqhn m
kilala ko itong,killa q i2ng
babae na to,bbae n 2
sila noong lalaki,cla nung llaki
pa din siya kay kuya,p dn cya ky kua
kaya pala lagi niya,kya pla lgi nia
na marami siya pera,n mrmi xang pira
kung ano ano,qng ano2x
at ginagastos para sa sarili,at gings2s pra s srili
pera pala ng sundalo,pira pla nh xundlo
yung ginagastos niya,ung gings2s nya
Magaling magsinungaling yan,mgling mgcnungaling yn
nalang kami,nlng kmi
hindi niya kaya lokohin,hndi nya kya loqhin
marami siya kwento,mrmi sea kwen2
pero kung magsalita,pro qng mgslita
na mayaman daw sila,n myman dw cla
akala mo talaga totoo,akla m tlga 22o
dami niya pera,dmi nia pira
wala naman trabaho,wla nman trbho
kaya pala iba,kya pla ib
hindi nga kami nagkamali,nd nha kmi ngkmali
naman naging lalaki niya,namn nging llki nya
lang niya yung sundalo,lng nea ung xundlo
kasi alam niya malaki,kc alm nia mlki
karma sayo lahat yan,krma sau lhat yn
sana wala ka,sna wla k
maloko na ibang,mloq n ibng
matakot ka sa karma,mtaqt k s krma
lalo na may anak ka,llo n my ank k
May paiyak iyak,my pa iyak2x
May karma dyan,my krma jn
kaya kailangan bayaran,kya kelngan byran
kawawa naman si,kwwa nman c
isipin din naman sana natin,icpin dn nman sna na10
na ito,nato
makaloko ka lang,mkaluko k lng
ayaw sabihin kung sino,ayw svhin qng cno
anak niya siguro may,ank nya cguro my
asawa na nakabuntis sa kanya,aswa n nkbuntis s kNya
hindi naman sayo,di namn syo
ka lang,kalang
kasi akala niya,ksi kla nya
Natural trabaho niya yun,na2rl trbho nia un
yan halatang,yn hltang
Kuya sinayang ka,kua cnyang k
pwede ka na mag,pde kna mg
gandang ganda sa sarili,gndng gnda s srili
Manlolokong makating,mnloloqng mkting
alam mo ba,alm m b
sa lahat ng trabaho,s lhat nh trbho
tapos ganyan lang,tpos gnyan lng
ginagawa mo sa kanya,gingwa m s knya
ka pang,Kpang
marami makikitang,mrami mkikitng
huwag mo sayangin,wag u syngin
sa ganyan lang,s gnyn lng
Basta loko loko kayo,bsta loko2x kyo
ano daw,nudaw
tayo nalang,Tyo nlng
hindi kita lolokohin,di kta loloqhin
tagal naman,tgal nman
sakit noon para sakin,skit nun pra skin
hindi ko,dko
huwag ka umiyak,wag k umiyk
Naku kung ako yan,nku qng aq yn
tapos gastusin mo,tas gs2cn m
Magtrabaho ka para,mgtrbho k pra
Kahit sino magagalit,kht cno mggl8
sa ginawa mo,s ginwa u
kasi kasalanan mo yan,kc kslnan m yn
huwag nalang,wg nlang
kailangan lagi nalang tayo,kelngan lgi nlng tyo
tapos hindi pa pala,tpos ndi p pla
kung binigyan ka,qng bnigyn k
dapat hindi mo,dapt d m
tutulungan niyo,22lungn nio
dapat matulungan,dpat ma2lungn
kabayan natin,kbyn n10
pwede maging,Pde mging
ka naman,kanaman
Parang si babae,prng c bbae
yung sinungaling,ung cnungling
dapat bigyan ng leksyon,dapt bgyn nh lixion
kawawa naman yung,Kwawa nman ung
pinapaikot ikot lang,pnpaiqt iqt lng
ka pa,kpa
sinadya siguro yun,cndya cguro un
kaso balak niya,kso blak nia
lokohin at takasan,loqhin at tksan
Grabe itong babaeng,ebarg i2ng bbaeng
sana hindi mo ginalaw,sna di m ginlw
isinauli mo dapat,icnauli m dpat
tapos parang ikaw pa,tas prng ikw p
Tapos malalaman nalang,tpos mllman nlang
na ninakawan mo siya,n ninkwan m sia
yung ginastusan niya,ung gins2san nya
Sabi niya matagal na silang,sbi nya mtgal n clang
Mas sinungaling ka,ms cnungaling k
nasaan na,nsan n
ginamit yung bata,ginm8 ung bta
akala ko si,kla q c
matagal na daw,mtgal n dw
pero nasa kanya pa,pro nsa knya p
masyadong nagpapaawa,mxadong ngppaawa
pero saksakan ng kapal,pro skskan nh kpal
Walang kinalaman yung,wlang kinlman ung
doon sa ginamit mong,dun s ginm8 mung
Kung hindi yan anak,qng nd nea ank
Ang laking pera nyan,anh lking pira nyn
akala mo ba sa,kla u b s
basta basta nakukuha yan,basta2x nkukuh yn
sige iyak pa,cge iyk p
Kasuhan na yan,ksuhn n yn
kapag lalaki ang gumawa,kpg llki an gumwa
kaso agad agad,kso agad2x
Nakakagigil naman,nkkgigil nman
babae ka,babaeka
kulong ka ngayon,qlong k ngyon
wala namang ginawa sayo,wla nmng gnwa sau
kahit sampu pa ang dalhin,kh8 smpu p an dlhin
Halatang sinungaling,hltang cnungling
naku ate ikaw,Nko teh ikw
manggamit ka pa,mnggam8 k p
pagbayarin na yan,Pgbyarin n yarn
nag hahanap ng lalaking,ng hhnap nh llking
mukhang pera pala,mukng pira pla
ang babae na yan,anh bbae n yn
Bastos na babae,bs2s n eabab
sobrang panloloko,sobrng pnloloq
ang hindi sa kanya,an nd s knya
Hindi daw siya sinungaling,d dw xya cnungaling
dapat lang na magbayad siya,dpt lng n mgbyad cya
Kawawa naman si kuya,kwwa nman c kua
naku ate bakit,Nko teh bkit
nakagastos na nang malaki,nkgas2s n nng mlki
sayo tapos malaman,syo ts mlman
hindi tunay yung iyak,Hnd 2nay ung iyk
ginagamit lang,gngamit lng
sitwasyon na nanganak,ctwasyon n nngank
kapal naman nito,Kpal nman ni2
Baka yan ang tatay,bka yn an ttay
mo pa,mopa
malinaw na ginamit,mlinw n ginm8
mo lang,molang
Nag bigay Yun kasi,ng bigy un ksi
Natural kasi pag kaka Alam,na2rl kc pg kka alm
kapag ako nyan,kpg aq nyn
naku baka mabaril ka,nku bka mbril k
bayaran mo yung,byran m ung
kapal mo naman,kpl m nmn
hindi na kailangan,di n kelngan
nagtapat na yung,ngtpat n ung
hindi pala anak,hndi pla ank
niloko lang niya,niloq lng nya
niloko nga si,niloq nha c
hindi talaga kami papayag,di tlga kmi ppyag
ka din,kaden
matagal na pala kayong,mtgal n pla kyong
huwag na tama na,wag n tma n
ganyang klase ng babae,gnyang klc nh bbae
ba talaga palagi,b tlaga plgi
ka lang,kalang
ginamit si sundalo,ginm8 c sundlo
naman talaga sa ginawa,nmn tlga s ginwa
hindi naman pala totoo,hnd nmn pla 22o
hindi niya sana binigay,hnd nya sna bnigy
Ginagamit niya yun,gingm8 nya un
kung may konsensya ka,qng my konsenxa k
kapag dito nangyari,kpg d2 nngyri
may kalalagyan ka,my kllagyn k
naman yang ganyan,nman yng gnyn
na sa kanya yung bata,n s knya ung bta
din naman yung mukha,dn nmn yng muka
hindi naman sayo,hndi namn sau
Ganyang klaseng,gnyng klcng
hindi dapat pagbigyan,nd dpat pgbigyn
ipakulong mo yan,ipqlong m yn
hindi ko,Dko
na po,napo
kaya tapusin,kya tpucn
ano man ang rason,nu mn an rson
hindi pala sa kanya,d pla saknya
hindi yan sayo,d yn sau
kahit sa anak mo,khit s ank m
ka naman,kanaman
nasaan na yung,nsan n ung
nawawala ka sa eksena,nwwala k s excna
may lahi ka palang,my lhi k plng
walang ganang,wlng gnang
mag trabaho kung ganito,mgtrbho qng gn2
kapal ng mukha,kafal nh moka
naku kung,nku kng
malapit ka lang,mlpit k lng
ka pa,kapa
mo yan lahat,mu yn lhat
matagal hiwalay,mtgl hiwly
na yun na nasa,b UN n NSA
kasinungaling Mo naman,kcnungling u nman
sarap mo sampalin,srap u smplin
Kahit binigyan ka,kht bnigyn k
hindi mo,dmo
dapat na kinuha,dpt n qinuha
Kasi nga akala niya,ksi nha kla nia
anak niya yan hawak mo,ank nya yn hwk u
mo lang yan,u lng yn
wala ka karapatan,wla k krptan
kung nasabi mo noon,qng nsbi u nun
na hindi niya anak,n ndi nya ank
bakit ngayon lang siya,bkt ngaun lng xya
Dapat ibalik lahat,dapt iblik lhat
sagad Ang pagiging,sgd an pgging
Yan ang maliwanag,yn anh mliwnag
sana mabilis din,sna mbilis dn
lumayas ka na dyan,lumys k n jan
bata ginamit sa,bta ginmit s
kapal mukha,kapalmuks
Dapat kasuhan yung,dpt ksuhn ung
Hindi pa siya,di p sya
kawawa si kuya,kawwa c kua
kawawa naman yung,wawa nman ung
Matagal na pala,mtgl n pla
kayong wala,kaung wla
bakit naman ginamit,bkit nmn ginmit
mahiya ka naman,mhiya k nmn
pa rin,parin
Ay grabe kang,ai grvi k
nakakasuka ka,nkksuka k
huwag ka na magrason,wg k n mgrson
ka nang,knang
lang yung,LNG Yong
Malinaw na panloloko yan,mlinw n pnloloq
Dapat bigyan ng lekson,dpt bigyn nh lexon
Gigil ako sayo ate,qiqil aq sau te
Mukhang manloloko talaga,mokang mnloloq tlga
pabayarin mo yan,pbyarin m yn
para madala,pra mdala
Pag ayusin na lang,pg ayucn nlng
para dalawa makuhang,pra dlwa mkuhng
ka na,kna
ngayon kasi wala na,ngyon kc wla n
hindi ka,dka
Kung ako nyan,qng aq nyn
kasi na sayo,kac nasau
problema lang hindi,prob5 lng ndi
yun gumagastos,un gumgs2s
ka pa,kapa
Bakit mo pa tinanggap,bkit u p tinggap
kung hindi niya,qng d nya
ipakulong mo na yan kuya,ipqlong u n yn kua
sobra ka,subra k
lakas mo gumastos,lks u gums2s
sinungaling yung babae,cnungaling ung bbae
no nalang kasi,m nlng kc
tutal hindi naman siya,2tal hnd nmn cya
niya ipagamit sayo,nya ipgmit sau
kung nagsabi ka lang,kng ngsabi k lng
agad ng totoo,agd nh 22o
ginamit pa pera,ginm8 p pira
napaka kapal mukha,NPAka kpal muks
dahil kanyan kaya,dhil knya kya
lang niloko niya,lng niloq nya
wala na pala kayo,Wla n pla kau
tapos kumukuha ka pa,tas qmuqha k p
mahiya ka na man,mhiya kna mn
ganyan yung mga tunay,gnyn ung mha 2ny
hindi yung panay porma lang,d ung pnay 4ma lng
dapat pahalagahan,dpt phlghan
bigyan importansya,bgyn im4tnxa
na yan,nayan
kawawang bata,kwwang bta
na naman,nanaman
wala na pala kayo,Wla n pla kyo
mo pa,mpa
kahit pa sabihin natin,kht p sabhn ntn
hindi naman pala sa kanya yun,hnd nman pla sa knya un
dapat hindi mo na,dapt hnd mna
kung marunong ka,qng mrunong k
huwag kayo maniwala,wag kau mniwala
Dapat yan makulong,dpat yn mqlong
Kung alam niyo lang,qng alm nio lng
Ang sakit nito sa,an sk8 ni2 s
tapos hindi pa naman,tpos d p nmn
ibawas sa sahod,ibwas s shod
Sana ituloy niya,sna i2loy nya
para maturuan,pra ma2ruan
huwag ipagpalit ang binigay,wg ipgplit an bnigy
Isipin mo buhay,icpn u buhy
tinaya para dyan,tinya pra jan
ikaw naman lalaki,Ikw nman llki
siksik sarili mo,sik2 srili u
ayaw na sayo,ayw n sau
ipabalik nalang yung,ipblik nlang ung
Singilin yan,cngilin yn
karmahin ka sana,krmhin k sna
makahanap ka pa,mkhnap k p
mas pa sa kanya,ms p s knya
Dapat mabawi na,dpat mbwi n
dapat Kung Hindi,dpt qng ndi
pero ginamit pera,pro ginm8 pira
ka din pala,k dn pla
baka marami pang,bka mrmi png
maloko yan,mloq yn
palang alam niya na,plng alm nia n
bakit ginamit yung,bkt ginmit ung
huwag na sayo,wag n sau
manloloko ka talaga,manlloko k tlga
Sanay talaga yan,sny tlga yn
kanyang mga rason,knyang mha rson
Marunong siyang magpaikot,mrunong xang mgpaikot
pero mabasa sa kanyang,pro mbsa s knyng
gagamitin mo yung,ggmitin m ung
alam mong hindi niya,alm mung di nea
mahiya ka man lang,mhiya k mnlng
bakit kasi hindi nalang,bk8 kc di nlng
matagal na palang,mtgal n plng
Mapag samantala kang,mpg smntala kng
sabi na dadating ka dito,sv n ddting k d2
kaya hirap maging,kya hirp mging
tapos yung asawa,tpos ung aswa
mo laging galit,u lging gl8
kapag wala kang,kpg wla kng
tapos hindi pala,TAs ndi Pla
kasi para sa,kc pra s
kaso hindi naman pala,kso nd nmn pla
sabihin ginamit,sbihin ginm8
niloko lang si,niloq lng c
Yun lang ang problema,un lng an prob5
dapat dyan kasuhan talaga,dpt jn ksuhn tlga
parang kasalanan pa,prng kslnan p
malamang may asawa rin,mlmng my aswa rn
dapat sayo mukhang pera,Dapt sau mukng pira
bakit mo ginamit,bkt m ginm8
hindi naman pala,ndi nman pla
huwag mo,wagmo
dami mo ka sinungalingan,dmi u k cinungaling
ay hindi kanya,ai di knya
ginawa niya yun,ginwa nia un
para manloko,pra mnloq
niya yun tapos,ny un tpos
winaldas lang,winlds lng
bakit tumatanggap ka,bat 2mnggap k
hindi porket binigyan ka,di 4ket bnigyn k
na gamitin yan,n gmitin yn
sabihin pwede mo,sbhin pede u
para sa batang hindi naman,pra s btng d nmn
Kung siya mismo,qng cya msmo
sa sarili niya,s srili nia
saan naman siya kukuha,sn namn xa qqha
dapat turuan ang ganyang,dpt 2ruan an gnyn
kawawa naman,kwwa nmn
na lang isipin niyo,n lng icpn nio
Dapat yung mapunta,dapt ung mpunta
yung katulad niya din,ung k2lad nea dn
Ang mahal mo naman,an mhal u namn
hindi naman pala niya,ndi nmn pla nia
bakit nakialam k,bkit nkialam k
nanloko na,nnloq n
hirap ng trabaho,hirp nh trbho
tapos gaganyanin lang,ts ggnynin lng
yung perang hindi sayo,yong perng hnd syo
nakakahiya ka,nkkahiya k
Natawa ako noong sinabi,ntwa aq nung cnbi
parang hindi naman,prang d nmn
kapal mo Naman,kpl u nmn
ang kapal din,Angkapl dn
Masyadong magaling,mxadong mgling
itong babae,i2ng ba2e
ngayon ko lang ito Nakita,ngyon q lng i2 nkita
sinungaling yan babae,cnungaling yn ba2e
kung matagal na Pala,qng mtgl n pla
bakit niya pa,bkit nia p
Kung ako nanay nyan,kng aq nnay nyn
yan babae sa kanal,yn bbae s knal
sakin ka nalang,skin k nlng
Sinayang niya Yung,cnyng nia ung
makapal sanay,mkpal snay
kalmado lang siya,klmado lng xa
magbayad ka na lang,Mgbyad k n lng
mabaliw ka sana,mbliw k sna
Nanakot pa talaga,nnaqt p tlga
Sino namang lalaki,cno nmang llki
ang gagastos sa hindi niya anak,an ggs2s s di nya ank
hindi naman magbibigay,di nmn mgbbigy
kung alam niyang hindi,qng alm niang di
grabe naman yun,grbe nmn un
hindi sa kanilang,hndi s knilang
hindi pala siya tunay,Di pla sya 2nay
Kahit anong dahilan,khit anng dhiln
mo lang,mulang
napakasinungaling,npakacnungaling
Babae talaga,bbae tlga
kapag meron nag seryoso,pag mron ng cryuso
nakita lalaking Loko Loko,nkita llking loko2x
maghahanap ng matino,mghhnap nh mtino
sasabihin pa Wala na,ssbihin p wla na
ano ba talaga gusto niyo,nu b tlga gus2 nio
Alam mong matagal,alm mung mtgal
pero ginamit mo,pro ginm8 u
na alam mong hindi pala,n alm mung di pla
walang konsensiya,wlang konsinxa
sinalo niya lahat,cnalo nia lht
Banta agad kasi,bnta agd kc
nagastos na ang pera,ngs2s n an pira
parang sira mag isisp,prng cra mg icp
habang nagbabasa ako dito,hbng ngbbsa aq di2
alam yan ni babae,alm yn ni bbae
na hindi kay kuya ang bata,n hndi ky kua an bta
Maliwanag naman,mliwnag nmn
hindi naman sa kaniya,d nmn s knia
bakit hindi mo,bat dmo
sinauli yung,cnauli ung
ibig sabihin may,ivig savhn my
mangloko talaga dahil,mngloq tlg DHL
kahit pa pagbigay niya,kht p pagbgqy ny
dahil sa wala naman pala,DHL SA ala nmn pla
nakakatulog ka pa,nkk2log k p
ba ng maayos ate,b nh maaus te
mas maganda matulog kung,ms mgnda m2log kun
walang iniisip na masama,wlng iniicp n msma
iyak iyak,IYAK2x
simula palang mali na dahil,cmula plng mli n dhil
pinag hirapan niya yan,ping hirpn nia yn
doon ka magpa gastos,dun k mgp gs2s
kumukuha ka ng hindi sayo,qmuqha n nh d sau
Ginagastos mo Pera ng iba,gingas2s u pira nh ib
grabe ka,Grb k
alam mo ang totoo,alm u an 22o
tama naman,tma nmn
ginamit mo talaga,ginm8 u tlga
tuloy ako sa bata,2loy aq s bta
dahil nadamay pa,dhil ndmay p
